2021-03-12 10:55:56 startup archives unpack
2021-03-12 10:55:56 install libssl1.1:amd64 <none> 1.1.1d-0+deb10u5
2021-03-12 10:55:56 status triggers-pending libc-bin:amd64 2.28-10
2021-03-12 10:55:56 status half-installed libssl1.1:amd64 1.1.1d-0+deb10u5
2021-03-12 10:55:56 status unpacked libssl1.1:amd64 1.1.1d-0+deb10u5
2021-03-12 10:55:56 install libsasl2-modules-db:amd64 <none> 2.1.27+dfsg-1+deb10u1
2021-03-12 10:55:56 status half-installed libsasl2-modules-db:amd64 2.1.27+dfsg-1+deb10u1
2021-03-12 10:55:56 status unpacked libsasl2-modules-db:amd64 2.1.27+dfsg-1+deb10u1
2021-03-12 10:55:56 install libsasl2-2:amd64 <none> 2.1.27+dfsg-1+deb10u1
2021-03-12 10:55:56 status half-installed libsasl2-2:amd64 2.1.27+dfsg-1+deb10u1
2021-03-12 10:55:56 status unpacked libsasl2-2:amd64 2.1.27+dfsg-1+deb10u1
2021-03-12 10:55:56 install libldap-common:all <none> 2.4.47+dfsg-3+deb10u6
2021-03-12 10:55:56 status half-installed libldap-common:all 2.4.47+dfsg-3+deb10u6
2021-03-12 10:55:56 status unpacked libldap-common:all 2.4.47+dfsg-3+deb10u6
2021-03-12 10:55:57 install libldap-2.4-2:amd64 <none> 2.4.47+dfsg-3+deb10u6
2021-03-12 10:55:57 status half-installed libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u6
2021-03-12 10:55:57 status unpacked libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u6
2021-03-12 10:55:57 install libapr1:amd64 <none> 1.6.5-1+b1
2021-03-12 10:55:57 status half-installed libapr1:amd64 1.6.5-1+b1
2021-03-12 10:55:57 status unpacked libapr1:amd64 1.6.5-1+b1
2021-03-12 10:55:57 install libexpat1:amd64 <none> 2.2.6-2+deb10u1
2021-03-12 10:55:57 status half-installed libexpat1:amd64 2.2.6-2+deb10u1
2021-03-12 10:55:57 status unpacked libexpat1:amd64 2.2.6-2+deb10u1
2021-03-12 10:55:57 install libgdbm6:amd64 <none> 1.18.1-4
2021-03-12 10:55:57 status half-installed libgdbm6:amd64 1.18.1-4
2021-03-12 10:55:57 status unpacked libgdbm6:amd64 1.18.1-4
2021-03-12 10:55:57 install libaprutil1:amd64 <none> 1.6.1-4
2021-03-12 10:55:57 status half-installed libaprutil1:amd64 1.6.1-4
2021-03-12 10:55:57 status unpacked libaprutil1:amd64 1.6.1-4
2021-03-12 10:55:57 install libaprutil1-ldap:amd64 <none> 1.6.1-4
2021-03-12 10:55:57 status half-installed libaprutil1-ldap:amd64 1.6.1-4
2021-03-12 10:55:57 status unpacked libaprutil1-ldap:amd64 1.6.1-4
2021-03-12 10:55:57 startup packages configure
2021-03-12 10:55:57 configure libexpat1:amd64 2.2.6-2+deb10u1 <none>
2021-03-12 10:55:57 status unpacked libexpat1:amd64 2.2.6-2+deb10u1
2021-03-12 10:55:57 status half-configured libexpat1:amd64 2.2.6-2+deb10u1
2021-03-12 10:55:57 status installed libexpat1:amd64 2.2.6-2+deb10u1
2021-03-12 10:55:57 configure libssl1.1:amd64 1.1.1d-0+deb10u5 <none>
2021-03-12 10:55:57 status unpacked libssl1.1:amd64 1.1.1d-0+deb10u5
2021-03-12 10:55:57 status half-configured libssl1.1:amd64 1.1.1d-0+deb10u5
2021-03-12 10:55:57 status installed libssl1.1:amd64 1.1.1d-0+deb10u5
2021-03-12 10:55:57 configure libapr1:amd64 1.6.5-1+b1 <none>
2021-03-12 10:55:57 status unpacked libapr1:amd64 1.6.5-1+b1
2021-03-12 10:55:57 status half-configured libapr1:amd64 1.6.5-1+b1
2021-03-12 10:55:57 status installed libapr1:amd64 1.6.5-1+b1
2021-03-12 10:55:57 configure libldap-common:all 2.4.47+dfsg-3+deb10u6 <none>
2021-03-12 10:55:57 status unpacked libldap-common:all 2.4.47+dfsg-3+deb10u6
2021-03-12 10:55:57 status half-configured libldap-common:all 2.4.47+dfsg-3+deb10u6
2021-03-12 10:55:57 status installed libldap-common:all 2.4.47+dfsg-3+deb10u6
2021-03-12 10:55:57 configure libsasl2-modules-db:amd64 2.1.27+dfsg-1+deb10u1 <none>
2021-03-12 10:55:57 status unpacked libsasl2-modules-db:amd64 2.1.27+dfsg-1+deb10u1
2021-03-12 10:55:57 status half-configured libsasl2-modules-db:amd64 2.1.27+dfsg-1+deb10u1
2021-03-12 10:55:57 status installed libsasl2-modules-db:amd64 2.1.27+dfsg-1+deb10u1
2021-03-12 10:55:57 configure libsasl2-2:amd64 2.1.27+dfsg-1+deb10u1 <none>
2021-03-12 10:55:57 status unpacked libsasl2-2:amd64 2.1.27+dfsg-1+deb10u1
2021-03-12 10:55:57 status half-configured libsasl2-2:amd64 2.1.27+dfsg-1+deb10u1
2021-03-12 10:55:57 status installed libsasl2-2:amd64 2.1.27+dfsg-1+deb10u1
2021-03-12 10:55:57 configure libgdbm6:amd64 1.18.1-4 <none>
2021-03-12 10:55:57 status unpacked libgdbm6:amd64 1.18.1-4
2021-03-12 10:55:57 status half-configured libgdbm6:amd64 1.18.1-4
2021-03-12 10:55:57 status installed libgdbm6:amd64 1.18.1-4
2021-03-12 10:55:57 configure libaprutil1:amd64 1.6.1-4 <none>
2021-03-12 10:55:57 status unpacked libaprutil1:amd64 1.6.1-4
2021-03-12 10:55:57 status half-configured libaprutil1:amd64 1.6.1-4
2021-03-12 10:55:57 status installed libaprutil1:amd64 1.6.1-4
2021-03-12 10:55:57 configure libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u6 <none>
2021-03-12 10:55:57 status unpacked libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u6
2021-03-12 10:55:57 status half-configured libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u6
2021-03-12 10:55:57 status installed libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u6
2021-03-12 10:55:57 configure libaprutil1-ldap:amd64 1.6.1-4 <none>
